ID,ASK1_IC50_nM
TEST_000,1.3795799353282137
TEST_001,1.3491565650000854
TEST_002,1.3063095693139601
TEST_003,1.2960891087781947
TEST_004,0.9988812192874592
TEST_005,1.119962087495817
TEST_006,0.9192714904723503
TEST_007,0.7529980980599702
TEST_008,3.1940018668853574
TEST_009,1.5217187517589563
TEST_010,1.8595789687645037
TEST_011,0.7737805845929091
TEST_012,0.36594345027142666
TEST_013,1.2294032569372773
TEST_014,1.462029019560634
TEST_015,0.7221998901848015
TEST_016,0.6806948199488213
TEST_017,2.009620948962372
TEST_018,1.2354636787999287
TEST_019,1.3690800339263767
TEST_020,3.5510234597965287
TEST_021,0.8887835312403928
TEST_022,1.5144604302857063
TEST_023,1.0015597040608164
TEST_024,3.5888446003619667
TEST_025,1.3794620104337159
TEST_026,1.5698322545530543
TEST_027,1.5589355176097073
TEST_028,1.7219229525191744
TEST_029,1.5723543917060914
TEST_030,1.457764699090954
TEST_031,1.354322513409749
TEST_032,1.5253988197750528
TEST_033,1.0081845086202588
TEST_034,1.1027913954814172
TEST_035,0.4957442388078088
TEST_036,1.5476870613045406
TEST_037,2.1228376651814007
TEST_038,3.952206652665622
TEST_039,1.6122107210156185
TEST_040,1.0238012877724674
TEST_041,4.0607270036004195
TEST_042,3.5006906289543225
TEST_043,1.0251808075623527
TEST_044,1.2543791692095971
TEST_045,1.2739153796558893
TEST_046,0.798518331713476
TEST_047,0.552847355310298
TEST_048,1.5962965833155045
TEST_049,1.5827222318572731
TEST_050,1.6462102953603548
TEST_051,1.6086938736939242
TEST_052,1.589587348150721
TEST_053,1.5311998004315843
TEST_054,1.5479445168957997
TEST_055,0.9282114862180451
TEST_056,0.7683597637280274
TEST_057,0.7405983814748546
TEST_058,1.6239907789045078
TEST_059,2.445187602902655
TEST_060,1.2091009491709261
TEST_061,1.4683774530869573
TEST_062,1.393923184315587
TEST_063,1.0071033284005073
TEST_064,1.4778266898507517
TEST_065,1.0888313992469325
TEST_066,0.922040701290436
TEST_067,0.6310842661454789
TEST_068,1.1555030703123084
TEST_069,0.987720288696423
TEST_070,0.9262440134663452
TEST_071,1.4219516560433931
TEST_072,1.2930685355289278
TEST_073,1.1477319725437973
TEST_074,0.32513938083971483
TEST_075,0.37990675114713396
TEST_076,0.24062080751284787
TEST_077,1.7108894385296842
TEST_078,1.5186885461666833
TEST_079,1.5571149738649386
TEST_080,1.6715275339299462
TEST_081,0.25476263048367953
TEST_082,0.8927312640569173
TEST_083,0.9723187858709578
TEST_084,0.9237053249541796
TEST_085,0.9676298614190667
TEST_086,3.02670830720241
TEST_087,1.1414525390401629
TEST_088,0.7414804052768188
TEST_089,1.0469372777571184
TEST_090,0.27556523587190646
TEST_091,1.793274950773818
TEST_092,1.3900362510162039
TEST_093,0.6221744936670595
TEST_094,1.3152203148133903
TEST_095,1.030040631708277
TEST_096,2.0220940094865445
TEST_097,0.8460828194797279
TEST_098,1.9166641444736023
TEST_099,1.6583954807290981
TEST_100,0.46819100583292056
TEST_101,1.260179976570469
TEST_102,1.416448927023523
TEST_103,0.5708805255435492
TEST_104,1.7938425798574968
TEST_105,0.452567406278709
TEST_106,2.3404670832282184
TEST_107,9.969643114754561
TEST_108,1.6921487555857713
TEST_109,1.7718720322829196
TEST_110,1.6553728384217479
TEST_111,1.1756435532880134
TEST_112,0.5759972642398917
TEST_113,1.3195501358086623
TEST_114,1.8617588438452026
TEST_115,2.2044319817832534
TEST_116,0.7468068471393442
TEST_117,0.7989394480066931
TEST_118,0.417087332810661
TEST_119,0.8238080431873758
TEST_120,3.357780789599023
TEST_121,2.232534825051644
TEST_122,1.69142226380119
TEST_123,1.30370141442707
TEST_124,1.394188533681488
TEST_125,1.6596320794694426
TEST_126,1.0285216734817753
